Number,Title,Type,metacritic_metascore,meta_user,meta_note
182,Cadillacs: Kyouryuu Shin Seiki (Japan),3/4P,,,"['unable to get the rating', 'unable to get the user rating']"
183,Knights of the Round (USA),3/4P,,,"['unable to get the rating', 'unable to get the user rating']"
184,Michael Jackson's Moonwalker,3/4P,,,"['unable to get the rating', 'unable to get the user rating']"
185,Powered Gear: Strategic Variant Armor Equipment (Japan),3/4P,,,"['unable to get the rating', 'unable to get the user rating']"
186,Legion - Spinner-87 (World),,,,"['unable to get the rating', 'unable to get the user rating']"
187,Sangokushi II,3/4P,,,"['unable to get the rating', 'unable to get the user rating']"
188,Tenchi wo Kurau II: Sekiheki no Tatakai (Japan),3/4P,,,"['unable to get the rating', 'unable to get the user rating']"
189,Blazing Tornado,3/4P,,,"['unable to get the rating', 'unable to get the user rating']"
190,The Main Event (4 Players ver),3/4P,,,"['unable to get the rating', 'unable to get the user rating']"
191,Star Castle,,,,"['unable to get the rating', 'unable to get the user rating']"
192,Stargate,,,,"['unable to get the rating', 'unable to get the user rating']"
193,Robotron: 2084,,65.0,tbd,[]
194,Qix,,,,"['unable to get the rating', 'unable to get the user rating']"
195,Galaga 3,,,tbd,['unable to get the rating']
196,Galaga,,66.0,5.8,[]
197,Galaga '88,,,tbd,['unable to get the rating']
198,Ms. Pac Attack,,,,"['unable to get the rating', 'unable to get the user rating']"
199,Space Invaders M,,,,"['unable to get the rating', 'unable to get the user rating']"
200,Ms. Pacman Champion Edition / Zola-Puc Gal,,,,"['unable to get the rating', 'unable to get the user rating']"
201,Ms. Pac-Man(Greece),,,,"['unable to get the rating', 'unable to get the user rating']"
202,Ms. Pac-Man (speedup hack),,,,"['unable to get the rating', 'unable to get the user rating']"
203,Ms. Pacman Champion Edition Super,,,,"['unable to get the rating', 'unable to get the user rating']"
204,Ms. Pacman Champion Edition,,,,"['unable to get the rating', 'unable to get the user rating']"
205,Ms. Pac-Man Plus,,,,"['unable to get the rating', 'unable to get the user rating']"
206,Pac-Man (Midway),,,,"['unable to get the rating', 'unable to get the user rating']"
207,Pac-Man (set 1),,,,"['unable to get the rating', 'unable to get the user rating']"
208,Pac-Man (set 2),,,,"['unable to get the rating', 'unable to get the user rating']"
209,Pac-Man (speedup hack),,,,"['unable to get the rating', 'unable to get the user rating']"
210,Pac-Man Plus,,,,"['unable to get the rating', 'unable to get the user rating']"
211,Pac-Mania,,,,"['unable to get the rating', 'unable to get the user rating']"
212,Hyper Pacman,,,,"['unable to get the rating', 'unable to get the user rating']"
213,Jr. Pac-Man,,,,"['unable to get the rating', 'unable to get the user rating']"
214,Prehistoric Isle in 1930,,,tbd,['unable to get the rating']
215,Prehistoric Isle 2,,,tbd,['unable to get the rating']
216,SF-X,,,,"['unable to get the rating', 'unable to get the user rating']"
217,Super Sidekicks,,,tbd,['unable to get the rating']
218,Super Sidekicks2- The World Championship,,,,"['unable to get the rating', 'unable to get the user rating']"
219,Super Sidekicks3- The Next Glory,,,,"['unable to get the rating', 'unable to get the user rating']"
220,The Ultimate 11 - The SNK Football Championship,,,,"['unable to get the rating', 'unable to get the user rating']"
221,Toki,,66.0,6.6,[]
222,Tumble Pop,,,,"['unable to get the rating', 'unable to get the user rating']"
223,Sunset Riders,3/4P,,tbd,['unable to get the rating']
224,Sunset Riders (2 Players ver ABD),,,,"['unable to get the rating', 'unable to get the user rating']"
225,Sunset Riders (2 Players ver EBC),,,,"['unable to get the rating', 'unable to get the user rating']"
226,Sunset Riders (4 Players ver ADD),3/4P,,,"['unable to get the rating', 'unable to get the user rating']"
227,Samurai Shodown / Samurai Spirits,,,,"['unable to get the rating', 'unable to get the user rating']"
228,Samurai Shodown / Samurai Spirits (NGH-045),,,,"['unable to get the rating', 'unable to get the user rating']"
229,Samurai Shodown II,,72.0,7.8,[]
230,Fighters Swords (Korean release of Samurai Shodown III),,,,"['unable to get the rating', 'unable to get the user rating']"
231,Samurai Shodown IV,,,,"['unable to get the rating', 'unable to get the user rating']"
232,Samurai Shodown V,,58.0,tbd,[]
233,Samurai Shodown V Special,,,tbd,['unable to get the rating']
234,The Simpsons (2 Players Japan),,,,"['unable to get the rating', 'unable to get the user rating']"
235,"The Simpsons (2 Players World, set 1)",,,,"['unable to get the rating', 'unable to get the user rating']"
236,"The Simpsons (4 Players World, set 2)",3/4P,,,"['unable to get the rating', 'unable to get the user rating']"
237,Snow Bros. - Nick & Tom,,,,"['unable to get the rating', 'unable to get the user rating']"
238,Snow Bros. - Nick & Tom (bootleg),,,,"['unable to get the rating', 'unable to get the user rating']"
239,Snow Bros.2- With New Elves,3/4P,,,"['unable to get the rating', 'unable to get the user rating']"
240,Snow Brothers3- Magical Adventure,,,,"['unable to get the rating', 'unable to get the user rating']"
241,Bubble Bobble,,,9.3,['unable to get the rating']
242,Bubble Bobble (Japan),,,,"['unable to get the rating', 'unable to get the user rating']"
243,Bubble Memories: The Story Of Bubble Bobble III,,,,"['unable to get the rating', 'unable to get the user rating']"
244,Golden Axe: The Revenge of Death Adder,3/4P,,,"['unable to get the rating', 'unable to get the user rating']"
245,Robocop,,,,"['unable to get the rating', 'unable to get the user rating']"
246,Sonic Boom,,47.0,6.1,[]
247,Super Space Invaders '91,,,,"['unable to get the rating', 'unable to get the user rating']"
248,Thunder Dragon 2,,,tbd,['unable to get the rating']
249,Lemmings,TRACKBALL,,,"['unable to get the rating', 'unable to get the user rating']"
250,Alley Master,TRACKBALL,,,"['unable to get the rating', 'unable to get the user rating']"
251,Arkanoid - Revenge of DOH,TRACKBALL,,,"['unable to get the rating', 'unable to get the user rating']"
252,Bang!,TRACKBALL,,tbd,['unable to get the rating']
253,Birdie King,TRACKBALL,,,"['unable to get the rating', 'unable to get the user rating']"
254,Birdie King 2,TRACKBALL,,,"['unable to get the rating', 'unable to get the user rating']"
255,Birdie King 3,TRACKBALL,,,"['unable to get the rating', 'unable to get the user rating']"
256,Blasteroids,TRACKBALL,,,"['unable to get the rating', 'unable to get the user rating']"
257,Bomb Bee,TRACKBALL,,,"['unable to get the rating', 'unable to get the user rating']"
258,Bulls Eye Darts,TRACKBALL,,,"['unable to get the rating', 'unable to get the user rating']"
259,Cameltry,TRACKBALL,,tbd,['unable to get the rating']
260,Crystal Castles,TRACKBALL,,,"['unable to get the rating', 'unable to get the user rating']"
261,Centipede,TRACKBALL,,tbd,['unable to get the rating']
262,Cutie Q,TRACKBALL,,,"['unable to get the rating', 'unable to get the user rating']"
263,Danger Zone,TRACKBALL,64.0,6.0,[]
264,Dark Planet,TRACKBALL,,,"['unable to get the rating', 'unable to get the user rating']"
265,D-Day,TRACKBALL,,,"['unable to get the rating', 'unable to get the user rating']"
266,Dunk Shot,TRACKBALL,,tbd,['unable to get the rating']
267,Food Fight,TRACKBALL,,,"['unable to get the rating', 'unable to get the user rating']"
268,Gee Bee (Japan),TRACKBALL,,,"['unable to get the rating', 'unable to get the user rating']"
269,Goalie Ghost,TRACKBALL,,,"['unable to get the rating', 'unable to get the user rating']"
270,Liberator,TRACKBALL,,,"['unable to get the rating', 'unable to get the user rating']"
271,Marble Madness,TRACKBALL,,,"['unable to get the rating', 'unable to get the user rating']"
272,Millipede,TRACKBALL,,,"['unable to get the rating', 'unable to get the user rating']"
273,Mini Golf,TRACKBALL,,tbd,['unable to get the rating']
274,Missile Command,TRACKBALL,,,"['unable to get the rating', 'unable to get the user rating']"
275,Mad Planets,TRACKBALL,,tbd,['unable to get the rating']
276, Night Stocker,TRACKBAll,,,"['unable to get the rating', 'unable to get the user rating']"
277, N.Y. Captor,TRACKBAll,,,"['unable to get the rating', 'unable to get the user rating']"
278,Night Warriors: Darkstalkers' Revenge,,,,"['unable to get the rating', 'unable to get the user rating']"
279, Operation Wolf,TRACKBAll,,,"['unable to get the rating', 'unable to get the user rating']"
280, Police Trainer,TRACKBAll,,,"['unable to get the rating', 'unable to get the user rating']"
281, Reactor,TRACKBAll,,,"['unable to get the rating', 'unable to get the user rating']"
282, Snacks'n Jaxson,TRACKBAll,,,"['unable to get the rating', 'unable to get the user rating']"
283, Spiker,TRACKBAll,,,"['unable to get the rating', 'unable to get the user rating']"
284, Super Missile Attack,TRACKBAll,,,"['unable to get the rating', 'unable to get the user rating']"
285, Syvalion (Japan),TRACKBAll,,,"['unable to get the rating', 'unable to get the user rating']"
286, Tempest,TRACKBAll,47.0,tbd,[]
287, Zero Point,TRACKBAll,,,"['unable to get the rating', 'unable to get the user rating']"
288, Zero Point 2,TRACKBAll,,,"['unable to get the rating', 'unable to get the user rating']"
289,Out Run,,,,"['unable to get the rating', 'unable to get the user rating']"
290, Shuffleshot,TRACKBAll,,,"['unable to get the rating', 'unable to get the user rating']"
291, Shuffleboard,TRACKBAll,,,"['unable to get the rating', 'unable to get the user rating']"
292,Vendetta,3/4P,,,"['unable to get the rating', 'unable to get the user rating']"
293,"Tank Force (US, 4 Player)",3/4P,,,"['unable to get the rating', 'unable to get the user rating']"
294,"Alien Storm (World, 3 Players)",3/4P,,,"['unable to get the rating', 'unable to get the user rating']"
295,Crime Fighters (US 4 Players),3/4P,,,"['unable to get the rating', 'unable to get the user rating']"
296,D. D. Crew,3/4P,,,"['unable to get the rating', 'unable to get the user rating']"
297,Hot Rod,3/4P,,,"['unable to get the rating', 'unable to get the user rating']"
298, 720 Degrees,TRACKBAll,,,"['unable to get the rating', 'unable to get the user rating']"
299,1941: Counter Attack,,,,"['unable to get the rating', 'unable to get the user rating']"
300,1942,,,tbd,['unable to get the rating']
301,1943: The Battle of Midway,,,,"['unable to get the rating', 'unable to get the user rating']"
302,1944: The Loop Master,,,,"['unable to get the rating', 'unable to get the user rating']"
303,1942 (Revision A),,,,"['unable to get the rating', 'unable to get the user rating']"
304,1942 (C64 Music),,,,"['unable to get the rating', 'unable to get the user rating']"
305,1943: Midway Kaisen,,,,"['unable to get the rating', 'unable to get the user rating']"
306,1943 Kai: Midway Kaisen (Japan),,,,"['unable to get the rating', 'unable to get the user rating']"
307,1943: The Battle of Midway (US),,,,"['unable to get the rating', 'unable to get the user rating']"
