Number,Title,Type
868,Fancy World - Earth of Crisis,
869,Funky Fish,
870,Football Champ (World),
871,Forgotten Worlds,
872,Formation Z,
873,Flash Point,
874,Freeze,
875,Frenzy,
876,Frisky Tom (set 1),
877,Frog,
878,Frogger,
879,The Final Round,
880,Flying shark,
881,Final Star Force,
882,Fighters Swords,
883,Full Throttle (Japan),
884,Funky Jet,
885,Funny Mouse (Japan),
886,Future Spy,
887,F-X,
888,Gaia Crusaders,
889,Space Invaders Galactica,
890,Galaxian,
891,Galaxian Growing Galaxip,
892,Galaxy Fight - Universal Warriors,
893,Cosmo Police Galivan,
894,Galmedes (Japan),
895,Galaxian Turbo,
896,The Game Paradise - Master of Shooting!,
897,Gang Wars,
898,Ganryu,
899,Gaplus,
900,Gardia,
901,Garou - Mark of the Wolves,
902,Garou - Mark of the Wolves (prototype),
903,Garuka (Japan ver. W),
904,Garyo Retsuden (Japan),
905,Gate of Doom,
906,Gauntlet II,3/4P
907,Gauntlet,3/4P
908,Green Beret,
909,Gang Busters,
910,Gemini Wing (Japan),
911,"Gemini Wing (World, bootleg)",
912,Genix Family,
913,Genpei ToumaDen,
914,Genshi-Tou 1930's,
915,Golden Fire II,
916,The Real Ghostbusters,
917,The Real Ghostbusters (US 3 Players),3/4P
918,Ghostlop,
919,Ghost Muncher,
920,Ghouls'n Ghosts,
921,Gigandes,
922,Gigas Mark II,
923,Giga Wing,
924,G.I. Joe,3/4P
925,Ginga NinkyouDen,
926,Gladiator,
927,Great Mahou Daisakusen (Japan),
928,Ghostmuncher Galaxian,
929,Gunbarich,
930,Ghosts'n Goblins,
931,Ghosts'n Goblins (US),
932,Goal! Goal! Goal!,
933,Susume! Mile Smile,
934,Gokujyou Parodius (ver JAD),
935,Gold Bug,
936,Gold Medalist,3/4P
937,Golden Axe,
938,"Golden Axe (set 2, US)",
939,"Golden Axe (set 3, World)",
940,Gondomania,
941,Gorf,
942,Gorf (program 1),
943,Got-cha Mini Game Festival,
944,Voltage Fighter - Gowcaizer,
945,Golden Par Golf,
946,Ghost Pilots,
947,Gradius (Japan),
948,Gradius II - GOFER no Yabou (Japan),
949,Gradius III,
950,Gratia-Second Earth,
951,Gravitar,
952,Guardians,
953,Guardian Storm,
954,Jeon Sin - Guardian Storm,
955,Galaxy Rescue,
956,Grind Stormer,
957,Grudge Match,
958,Grand Tour,
959,Grobda,
960,Grobda (set 2),
961,Growl,
962,Growl (World),
963,Gryzor,
964,Great Swordsman,
965,Gingateikoku No Gyakushu,
966,Golden Tee Golf,
967,1000 Miglia: Great 1000 Miles Rally,
968,Mille Miglia 2: Great 1000 Miles Rally,
969,Mille Miglia 2: Great 1000 Miles Rally (95/04/04),
970,Great 1000 Miles Rally 2 USA,
971,1000 Miglia: Great 1000 Miles Rally (94/05/10),
972,Great 1000 Miles Rally: U.S.A Version!,
