Number,Title,Type,ign_score,ign_user,ign_note
175,Curve Ball,,,,"['unable to get the rating', 'unable to get the user rating']"
176,Drive Out,,,,"['unable to get the rating', 'unable to get the user rating']"
177,The Masters of Kin,,,,"['unable to get the rating', 'unable to get the user rating']"
178,Jungle King (Japan),,,,"['unable to get the rating', 'unable to get the user rating']"
179,Armored Warriors,3/4P,NR,9,[]
180,Dark Adventure,3/4P,NR,5,[]
181,Dungeons & Dragons: Tower of Doom,3/4P,NR,7.3,[]
182,Cadillacs: Kyouryuu Shin Seiki (Japan),3/4P,,,"['unable to get the rating', 'unable to get the user rating']"
183,Knights of the Round (USA),3/4P,,,"['unable to get the rating', 'unable to get the user rating']"
184,Michael Jackson's Moonwalker,3/4P,,,"['unable to get the rating', 'unable to get the user rating']"
185,Powered Gear: Strategic Variant Armor Equipment (Japan),3/4P,,,"['unable to get the rating', 'unable to get the user rating']"
186,Legion - Spinner-87 (World),,,,"['unable to get the rating', 'unable to get the user rating']"
187,Sangokushi II,3/4P,,,"['unable to get the rating', 'unable to get the user rating']"
188,Tenchi wo Kurau II: Sekiheki no Tatakai (Japan),3/4P,,,"['unable to get the rating', 'unable to get the user rating']"
189,Blazing Tornado,3/4P,,,"['unable to get the rating', 'unable to get the user rating']"
190,The Main Event (4 Players ver),3/4P,,,"['unable to get the rating', 'unable to get the user rating']"
191,Star Castle,,NR,4,[]
192,Stargate,,NR,7.3,[]
193,Robotron: 2084,,7.5,7,[]
194,Qix,,7,6.8,[]
195,Galaga 3,,,,"['unable to get the rating', 'unable to get the user rating']"
196,Galaga,,3,8,[]
197,Galaga '88,,NR,6,[]
198,Ms. Pac Attack,,,,"['unable to get the rating', 'unable to get the user rating']"
199,Space Invaders M,,,,"['unable to get the rating', 'unable to get the user rating']"
200,Ms. Pacman Champion Edition / Zola-Puc Gal,,,,"['unable to get the rating', 'unable to get the user rating']"
201,Ms. Pac-Man(Greece),,,,"['unable to get the rating', 'unable to get the user rating']"
202,Ms. Pac-Man (speedup hack),,,,"['unable to get the rating', 'unable to get the user rating']"
203,Ms. Pacman Champion Edition Super,,,,"['unable to get the rating', 'unable to get the user rating']"
204,Ms. Pacman Champion Edition,,,,"['unable to get the rating', 'unable to get the user rating']"
205,Ms. Pac-Man Plus,,,,"['unable to get the rating', 'unable to get the user rating']"
206,Pac-Man (Midway),,,,"['unable to get the rating', 'unable to get the user rating']"
207,Pac-Man (set 1),,,,"['unable to get the rating', 'unable to get the user rating']"
208,Pac-Man (set 2),,,,"['unable to get the rating', 'unable to get the user rating']"
209,Pac-Man (speedup hack),,,,"['unable to get the rating', 'unable to get the user rating']"
210,Pac-Man Plus,,,,"['unable to get the rating', 'unable to get the user rating']"
211,Pac-Mania,,,,"['unable to get the rating', 'unable to get the user rating']"
212,Hyper Pacman,,,,"['unable to get the rating', 'unable to get the user rating']"
213,Jr. Pac-Man,,,,"['unable to get the rating', 'unable to get the user rating']"
214,Prehistoric Isle in 1930,,,,"['unable to get the rating', 'unable to get the user rating']"
215,Prehistoric Isle 2,,NR,5,[]
216,SF-X,,,,"['unable to get the rating', 'unable to get the user rating']"
217,Super Sidekicks,,NR,5,[]
218,Super Sidekicks2- The World Championship,,,,"['unable to get the rating', 'unable to get the user rating']"
219,Super Sidekicks3- The Next Glory,,,,"['unable to get the rating', 'unable to get the user rating']"
220,The Ultimate 11 - The SNK Football Championship,,,,"['unable to get the rating', 'unable to get the user rating']"
221,Toki,,,,"['unable to get the rating', 'unable to get the user rating']"
222,Tumble Pop,,NR,-,[]
223,Sunset Riders,3/4P,,,"['unable to get the rating', 'unable to get the user rating']"
224,Sunset Riders (2 Players ver ABD),,,,"['unable to get the rating', 'unable to get the user rating']"
225,Sunset Riders (2 Players ver EBC),,,,"['unable to get the rating', 'unable to get the user rating']"
226,Sunset Riders (4 Players ver ADD),3/4P,,,"['unable to get the rating', 'unable to get the user rating']"
227,Samurai Shodown / Samurai Spirits,,,,"['unable to get the rating', 'unable to get the user rating']"
228,Samurai Shodown / Samurai Spirits (NGH-045),,,,"['unable to get the rating', 'unable to get the user rating']"
229,Samurai Shodown II,,8.5,8.8,[]
230,Fighters Swords (Korean release of Samurai Shodown III),,,,"['unable to get the rating', 'unable to get the user rating']"
231,Samurai Shodown IV,,,,"['unable to get the rating', 'unable to get the user rating']"
232,Samurai Shodown V,,6.2,8.3,[]
233,Samurai Shodown V Special,,NR,8.5,[]
234,The Simpsons (2 Players Japan),,,,"['unable to get the rating', 'unable to get the user rating']"
235,"The Simpsons (2 Players World, set 1)",,,,"['unable to get the rating', 'unable to get the user rating']"
236,"The Simpsons (4 Players World, set 2)",3/4P,,,"['unable to get the rating', 'unable to get the user rating']"
237,Snow Bros. - Nick & Tom,,NR,8.3,[]
238,Snow Bros. - Nick & Tom (bootleg),,,,"['unable to get the rating', 'unable to get the user rating']"
239,Snow Bros.2- With New Elves,3/4P,,,"['unable to get the rating', 'unable to get the user rating']"
240,Snow Brothers3- Magical Adventure,,,,"['unable to get the rating', 'unable to get the user rating']"
241,Bubble Bobble,,7.5,7.7,[]
242,Bubble Bobble (Japan),,,,"['unable to get the rating', 'unable to get the user rating']"
243,Bubble Memories: The Story Of Bubble Bobble III,,,,"['unable to get the rating', 'unable to get the user rating']"
244,Golden Axe: The Revenge of Death Adder,3/4P,NR,8,[]
245,Robocop,,,,"['unable to get the rating', 'unable to get the user rating']"
246,Sonic Boom,,,,"['unable to get the rating', 'unable to get the user rating']"
247,Super Space Invaders '91,,,,"['unable to get the rating', 'unable to get the user rating']"
248,Thunder Dragon 2,,NR,-,[]
249,Lemmings,TRACKBALL,9,8.1,[]
250,Alley Master,TRACKBALL,,,"['unable to get the rating', 'unable to get the user rating']"
251,Arkanoid - Revenge of DOH,TRACKBALL,NR,8,[]
252,Bang!,TRACKBALL,,,"['unable to get the rating', 'unable to get the user rating']"
253,Birdie King,TRACKBALL,,,"['unable to get the rating', 'unable to get the user rating']"
254,Birdie King 2,TRACKBALL,,,"['unable to get the rating', 'unable to get the user rating']"
